City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,trojes,41.76,19.96,62.6,88,0,2.24,AL,1595292943
152,ancud,-41.87,-73.82,44.6,93,40,3.36,CL,1595292944
153,fortuna,40.6,-124.16,64.99,82,1,16.11,US,1595292944
154,hamilton,39.18,-84.53,84.99,74,75,4.7,US,1595292944
155,magadan,59.57,150.8,63.66,61,0,4.97,RU,1595292944
156,hunchun,42.87,130.36,79.5,55,0,8.48,CN,1595292944
157,geraldton,-28.77,114.6,53.6,71,0,17.22,AU,1595292944
158,ribeira grande,38.52,-28.7,69.39,71,96,3.69,PT,1595292945
159,ginda,30.69,78.49,64.63,81,97,1.05,IN,1595292945
160,kamenka,51.32,42.77,61.0,84,38,4.41,RU,1595292945
161,manggar,-2.88,108.27,82.42,74,0,13.4,ID,1595292945
162,viedma,-40.81,-63.0,46.99,92,100,3.0,AR,1595292772
163,portland,45.52,-122.68,93.99,26,20,6.93,US,1595292903
164,severo-kurilsk,50.68,156.12,54.54,73,9,4.99,RU,1595292945
165,esperance,-33.87,121.9,48.2,76,100,10.29,AU,1595292946
166,terney,45.05,136.61,65.16,91,100,8.68,RU,1595292946
167,cherskiy,68.75,161.3,75.45,31,100,4.94,RU,1595292946
168,jinchang,38.5,102.17,78.28,26,99,1.32,CN,1595292946
169,lorengau,-2.02,147.27,85.68,64,23,8.01,PG,1595292946
170,clyde river,70.47,-68.59,44.6,93,90,11.41,CA,1595292742
171,lhokseumawe,5.18,97.15,79.12,81,100,4.76,ID,1595292947
172,vestmannaeyjar,63.44,-20.27,49.62,71,0,3.31,IS,1595292766
173,necochea,-38.55,-58.74,52.0,93,100,11.99,AR,1595292947
174,coos bay,43.37,-124.22,81.0,82,75,20.8,US,1595292947
175,husavik,66.04,-17.34,46.4,81,94,3.36,IS,1595292947
176,tuktoyaktuk,69.45,-133.04,42.8,81,90,9.17,CA,1595292948
177,palmer,42.16,-72.33,84.99,51,40,6.93,US,1595292948
178,celestun,20.87,-90.4,82.8,74,17,13.49,MX,1595292948
179,pizhma,57.86,47.12,59.86,97,100,4.25,RU,1595292948
180,eau claire,44.81,-91.5,77.0,47,1,2.86,US,1595292937
181,vlasim,49.71,14.9,61.0,93,68,1.9,CZ,1595292948
182,cheney,47.49,-117.58,91.4,20,20,6.93,US,1595292948
183,barghat,22.03,79.72,75.56,90,100,6.71,IN,1595292949
184,kuytun,54.34,101.5,59.2,61,86,4.81,RU,1595292949
185,asau,46.43,26.4,55.0,97,1,4.92,RO,1595292949
186,naze,28.37,129.48,86.0,79,75,5.82,JP,1595292949
187,guacimo,10.21,-83.68,71.6,88,75,6.93,CR,1595292949
188,panama city,8.99,-79.52,78.8,88,100,10.29,PA,1595292907
189,karasburg,-28.02,18.75,58.69,29,0,12.1,NA,1595292950
190,utevka,52.9,50.95,59.83,84,0,3.29,RU,1595292950
191,magadi,12.97,77.23,68.0,100,40,2.24,IN,1595292950
192,amapa,1.0,-52.0,71.02,96,57,1.23,BR,1595292950
193,hofn,64.25,-15.21,52.3,77,85,1.07,IS,1595292950
194,shelburne,44.08,-80.2,68.0,72,90,4.7,CA,1595292951
195,villaviciosa,43.48,-5.44,66.99,80,27,3.0,ES,1595292951
196,carutapera,-1.2,-46.02,74.66,90,15,4.56,BR,1595292951
197,ilulissat,69.22,-51.1,53.6,50,100,2.24,GL,1595292767
198,laguna,38.42,-121.42,84.2,39,1,10.29,US,1595292951
199,nishihara,26.18,127.76,87.8,83,40,5.82,JP,1595292952
200,karoi,-16.81,29.69,48.06,88,0,4.85,ZW,1595292952
201,jurm,36.86,70.83,66.02,32,53,0.83,AF,1595292952
202,guiong,6.42,122.03,82.4,88,40,5.82,PH,1595292952
203,sitka,57.05,-135.33,57.2,93,90,3.36,US,1595292952
204,ayan,56.45,138.17,52.48,95,100,14.72,RU,1595292952
205,nouadhibou,20.93,-17.03,75.2,73,75,2.24,MR,1595292952
206,senneterre,48.38,-77.23,60.8,72,75,3.36,CA,1595292803
207,zyryanka,65.75,150.85,79.68,37,51,20.36,RU,1595292769
208,coquimbo,-29.95,-71.34,53.6,81,6,3.36,CL,1595292953
209,juegang,32.32,121.19,77.38,93,100,7.38,CN,1595292953
210,ponta do sol,32.67,-17.1,71.6,64,40,12.75,PT,1595292953
211,spornoye,50.84,37.29,62.6,72,0,4.47,RU,1595292953
212,tocopilla,-22.09,-70.2,60.22,65,100,6.42,CL,1595292799
